Timestamp,Username,VideoID,Comment,Date,Cleaning,Normalisasi
2024-07-22T06:41:46Z,@user-tc6mi6su7c,FE4iq7BzZAA,Kalau Biden mundur.ancaman ke trump di anggap setting.,2024-07-22T06:41:46Z,kalau biden mundur ancaman ke trump di anggap setting,kalau biden mundur ancaman ke trump di anggap setting
2024-07-22T06:41:13Z,@BenyWidodo-ru2yp,FE4iq7BzZAA,Ketuaan biden,2024-07-22T06:41:13Z,ketuaan biden,ketuaan biden
2024-07-22T06:39:02Z,@yoesoef4902,FE4iq7BzZAA,Mundur sebelum berperang,2024-07-22T06:39:02Z,mundur sebelum berperang,mundur sebelum berperang
2024-07-22T06:28:21Z,@TheNosferratu,FE4iq7BzZAA,Krn Biden tau klo tetep maju pasti kalah ama Trump makanya mundur,2024-07-22T06:28:21Z,krn biden tau klo tetep maju pasti kalah ama trump makanya mundur,karena biden tau kalau tetap maju pasti kalah sama trump makanya mundur
2024-07-22T06:19:32Z,@cecepgorbachev3018,FE4iq7BzZAA,Capresnya perempuan lebih bahaya lagi kalau menang pilpres si kemala keturunan india selir yahudi inggris,2024-07-22T06:19:32Z,capresnya perempuan lebih bahaya lagi kalau menang pilpres si kemala keturunan india selir yahudi inggris,capresnya perempuan lebih bahaya lagi kalau menang pilpres sih kemala keturunan india selir yahudi inggris
2024-07-22T06:15:02Z,@mustaamfadil3171,FE4iq7BzZAA,"Tua Bangka..., calon mayat.",2024-07-22T06:15:02Z,tua bangka calon mayat,tua bangka calon mayat
2024-07-22T06:11:53Z,@erwinkumadjawa9497,FE4iq7BzZAA,Joe Biden adalah LEGENDA SELAMANYA: Dia Berprestasi sebagai Wakil Presiden Barrack Obama selama dua periode dan PRESIDEN TERTUA di DUNIA saat TERPILIH PADA 2020☀️ Biden is The Sun Shines The World..,2024-07-22T06:11:53Z,joe biden adalah legenda selamanya dia berprestasi sebagai wakil presiden barrack obama selama dua periode dan presiden tertua di dunia saat terpilih pada biden is the sun shines the world,joe biden adalah legenda selamanya dia berprestasi sebagai wakil presiden barrack obama selama dua periode dan presiden tertua di dunia saat terpilih pada biden is the sun shines the world
2024-07-22T06:01:58Z,@raden1776,FE4iq7BzZAA,Setuju mudur..krn cara caranya Berbau Fitnah..demi menjaga nama Biden..Harga Diri segalanya..jgn seprti di Negara kita..Fitnah fitnah eeh..jadi president..Kisah Ratna Sarumpet..,2024-07-22T06:01:58Z,setuju mudur krn cara caranya berbau fitnah demi menjaga nama biden harga diri segalanya jgn seprti di negara kita fitnah fitnah eeh jadi president kisah ratna sarumpet,setuju mudur karena cara caranya berbau fitnah demi menjaga nama biden harga diri segalanya jangan seprti di negara kita fitnah fitnah eeh jadi president kisah ratna sarumpet
2024-07-22T05:54:00Z,@imaloner7523,FE4iq7BzZAA,"Dah ketuaan,disini malah kemudaan 😂 Tunggu 5/10 tahun lagi biar bener2 mateng..",2024-07-22T06:00:28Z,dah ketuaandisini malah kemudaan tunggu tahun lagi biar bener2 mateng,sudah ketuaandisini malah kemudaan tunggu tahun lagi biar benar-benar mateng
2024-07-22T05:40:23Z,@infonesia5339,FE4iq7BzZAA,Jangan sampe kaya amien rais..,2024-07-22T05:40:23Z,jangan sampe kaya amien rais,jangan sampai kayak amien rais
2024-07-22T05:39:22Z,@falwaechanel,FE4iq7BzZAA,Old man... Wong tuo...,2024-07-22T05:39:22Z,old man wong tuo,old man wong tuo
2024-07-22T05:31:07Z,@yantopurnama3164,FE4iq7BzZAA,Kapan Yach Mamarika punya Presiden dari Suku Indian.😊😊😊😊,2024-07-22T05:31:07Z,kapan yach mamarika punya presiden dari suku indian,kapan ya mamarika punya presiden dari suku indian
2024-07-22T05:29:06Z,@Yoesoef79,FE4iq7BzZAA,"Gmn gak mundur, d ancem sama pendukung ny, sampe pd demo, penyokong dana jg ngancem",2024-07-22T05:29:06Z,gmn gak mundur d ancem sama pendukung ny sampe pd demo penyokong dana jg ngancem,bagaimana tidak mundur di ancem sama pendukung nya sampai pada demo penyokong dana juga ngancem
2024-07-22T05:13:35Z,@fg7531,FE4iq7BzZAA,BTC TO THE MOON 🎉🎉,2024-07-22T05:13:35Z,btc to the moon,btc tapi the moon
2024-07-22T05:10:36Z,@user-yo4bp6so2g,FE4iq7BzZAA,Contoh manusia serakah &amp; rakus kekuasaan.,2024-07-22T05:10:36Z,contoh manusia serakah rakus kekuasaan,contoh manusia serakah rakus kekuasaan
2024-07-22T05:06:15Z,@fitriyanaa,FE4iq7BzZAA,"Ternyata kemaluan orang Ameriki lebih besar dari orang Indonesia. Cawapres bermasalah aja, tanpa ada kemaluan, tetap maju dengan cawe-cawe bapaknya. Shame on you",2024-07-22T05:06:15Z,ternyata kemaluan orang ameriki lebih besar dari orang indonesia cawapres bermasalah aja tanpa ada kemaluan tetap maju dengan cawecawe bapaknya shame on you,ternyata kemaluan orang ameriki lebih besar dari orang indonesia cawapres bermasalah saja tanpa ada kemaluan tetap maju dengan cawecawe bapaknya shame on you
2024-07-22T04:57:26Z,@omw2myw661,FE4iq7BzZAA,"Kamala Harris terlalu boneka, gak layak, gak akan bisa kalahin Trump",2024-07-22T04:57:26Z,kamala harris terlalu boneka gak layak gak akan bisa kalahin trump,kamala harris terlalu boneka tidak layak tidak akan bisa kalahin trump
2024-07-22T04:54:08Z,@tenyharyati9355,FE4iq7BzZAA,"sekelas amerika tapi soal president election aja bapuk kek gini, kaga ada tokoh laen yang bisa diajuin buat jadi candidate wkwk",2024-07-22T04:54:08Z,sekelas amerika tapi soal president election aja bapuk kek gini kaga ada tokoh laen yang bisa diajuin buat jadi candidate wkwk,sekelas amerika tapi soal president election saja bapuk kayak begini kagak ada tokoh lain yang bisa diajuin buat jadi candidate wkwk
2024-07-22T04:52:06Z,@mochamadfahmi4581,FE4iq7BzZAA,Ybs. Sudah terlalu tua,2024-07-22T04:52:06Z,ybs sudah terlalu tua,ybs sudah terlalu tua
2024-07-22T04:43:02Z,@user-yx6hf3gz2t,FE4iq7BzZAA,Udh tua bau tanah bikin kacau dunia dan bikin perang ajh lu biden,2024-07-22T04:43:02Z,udh tua bau tanah bikin kacau dunia dan bikin perang ajh lu biden,sudah tua bau tanah bikin kacau dunia dan bikin perang saja kamu biden
2024-07-22T04:35:09Z,@user-gy6yu8uj8d,FE4iq7BzZAA,Saatnya kirim pak jokowi kesana,2024-07-22T04:35:09Z,saatnya kirim pak jokowi kesana,saatnya kirim pak jokowi kesana
2024-07-22T04:26:46Z,@johnnypitstop1095,FE4iq7BzZAA,"Puji Tuhan, mereda semua perang....",2024-07-22T04:26:46Z,puji tuhan mereda semua perang,puji tuhan mereda semua perang
2024-07-22T04:18:38Z,@bagusirfan523,FE4iq7BzZAA,APAKAH THE SIMSON AKAN TERJADI LAGI,2024-07-22T04:18:38Z,apakah the simson akan terjadi lagi,apakah the simson akan terjadi lagi
2024-07-22T04:12:50Z,@sintamelinda-jn9oy,FE4iq7BzZAA,Mundurlah sudh bau tanah,2024-07-22T04:12:50Z,mundurlah sudh bau tanah,mundurlah sudah bau tanah
2024-07-22T04:05:28Z,@insansangersanger243,FE4iq7BzZAA,Kenapa ngak dr pertama ..jalan aja kayak anak baru belajar jatoh2..donald aja bagus,2024-07-22T04:05:28Z,kenapa ngak dr pertama jalan aja kayak anak baru belajar jatoh2 donald aja bagus,kenapa tidak dari pertama jalan saja kayak anak baru belajar jatoh2 donald saja bagus
2024-07-22T03:58:28Z,@user-yu4rk9qe9v,FE4iq7BzZAA,Sejarah mencatat kakek ini adalah seorang pembunuh anak&quot; di Gaza.,2024-07-22T03:58:28Z,sejarah mencatat kakek ini adalah seorang pembunuh anak di gaza,sejarah mencatat kakek ini adalah seorang pembunuh anak di gaza
2024-07-22T03:51:05Z,@aajat9133,FE4iq7BzZAA,US krisis pemimpin,2024-07-22T03:51:05Z,us krisis pemimpin,us krisis pemimpin
2024-07-22T03:47:53Z,@JasJFatku,FE4iq7BzZAA,Wah klo Trump menang makin babar anak didik US di palestina 😅,2024-07-22T03:47:53Z,wah klo trump menang makin babar anak didik us di palestina,wah kalau trump menang makin babar anak didik us di palestina
2024-07-22T03:43:51Z,@cristianomadeira_7136,FE4iq7BzZAA,Opo opo kok dibandengke. Kopokkkkk,2024-07-22T03:43:51Z,opo opo kok dibandengke kopokkkkk,opo opo kok dibandengke kopokkkkk
2024-07-22T03:43:33Z,@cristianomadeira_7136,FE4iq7BzZAA,Orasah mbandengne karo endonesa juu,2024-07-22T03:44:07Z,orasah mbandengne karo endonesa juu,orasah mbandengne karo endonesa juu
2024-07-22T03:39:44Z,@Bram331,FE4iq7BzZAA,Udah pikun....zelenski di bilang putin.. Nanti paman kim dibilang donald,2024-07-22T03:39:44Z,udah pikun zelenski di bilang putin nanti paman kim dibilang donald,sudah pikun zelenski di bilang putin nanti paman kim dibilang donald
